city,rent_weekly,income_weekly,transport_weekly,grocery_weekly,tuition_weekly,study_hours,work_hours,commute_hours,total_expenses,savings_weekly,financial_stress
Brisbane,437,232,32,137,199,47,15,1.6729151214184965,805,-573,1
Melbourne,555,326,42,76,270,32,9,2.577818041794364,943,-617,1
Brisbane,372,347,39,69,264,44,16,0.5387061478437883,744,-397,1
Brisbane,591,570,56,74,165,31,0,1.1822929008109282,886,-316,1
Melbourne,420,550,47,115,244,38,17,0.5061364661096106,826,-276,1
Melbourne,318,620,36,58,267,33,9,1.5392782728746208,679,-59,1
Brisbane,508,367,47,141,265,26,3,2.3207887762343367,961,-594,1
Sydney,382,324,21,102,184,32,0,2.4969295727865712,689,-365,1
Brisbane,487,172,44,110,288,25,3,2.8629744028175166,929,-757,1
Brisbane,506,384,25,87,236,43,3,2.0212615324269665,854,-470,1
Brisbane,499,162,30,52,304,38,3,1.1365671666322386,885,-723,1
Brisbane,281,250,57,133,302,38,16,2.8103698728417474,773,-523,1
Melbourne,410,685,25,119,288,23,8,2.43828938470094,842,-157,1
Brisbane,349,672,30,146,307,38,18,1.9360712075078612,832,-160,1
Sydney,236,601,33,104,243,28,12,2.2391005392973398,616,-15,1
Melbourne,551,580,21,50,222,35,3,2.8107908875185728,844,-264,1
Sydney,511,682,59,119,101,46,4,2.2809850711823043,790,-108,1
Sydney,560,442,22,94,205,23,12,1.420936268961835,881,-439,1
Sydney,258,250,54,147,207,25,15,2.2825705057227417,666,-416,1
Sydney,330,651,52,96,171,27,4,0.6006954068384697,649,2,1
Melbourne,401,453,43,128,270,46,7,1.466038904576453,842,-389,1
Melbourne,442,689,38,75,225,48,15,1.515807579613948,780,-91,1
Sydney,234,504,37,63,269,43,0,0.9170955860520866,603,-99,1
Sydney,292,452,43,103,304,35,5,0.5577137013794254,742,-290,1
Melbourne,406,645,54,120,156,24,10,0.833453091594357,736,-91,1
Melbourne,552,376,20,95,180,40,15,2.136553739492638,847,-471,1
Melbourne,590,385,55,80,330,41,4,2.5057220409092187,1055,-670,1
Brisbane,531,604,44,137,315,29,15,2.9705087318174352,1027,-423,1
Brisbane,504,162,53,108,294,42,6,1.3659087577712357,959,-797,1
Brisbane,549,359,44,144,257,32,18,1.9984480556527544,994,-635,1
Sydney,412,546,35,78,343,48,0,2.842862417037805,868,-322,1
Brisbane,358,249,53,145,240,45,8,0.9176044533453815,796,-547,1
Sydney,223,180,48,66,118,33,17,2.2941139658568566,455,-275,1
Sydney,492,677,38,63,106,26,12,2.387446832872908,699,-22,1
Brisbane,203,478,42,85,236,48,14,0.7224388396733459,566,-88,1
Sydney,419,315,38,107,310,39,2,2.6531234629576628,874,-559,1
Brisbane,563,608,44,73,336,25,9,2.5327626177771094,1016,-408,1
Brisbane,581,249,35,112,153,26,8,0.5835075164435861,881,-632,1
Melbourne,219,322,28,140,203,24,12,0.7277110372001288,590,-268,1
Brisbane,351,311,20,74,185,40,15,0.6228172347296308,630,-319,1
Melbourne,249,412,38,108,181,37,2,1.3368588294984056,576,-164,1
Brisbane,376,423,52,81,160,42,14,1.7732224766998155,669,-246,1
Brisbane,295,152,53,131,186,31,16,1.830869319886572,665,-513,1
Melbourne,304,177,35,67,101,25,13,1.1691668994236066,507,-330,1
Melbourne,449,475,59,86,277,46,6,2.7789922164006855,871,-396,1
Brisbane,316,298,37,75,341,20,19,1.420656974679783,769,-471,1
Sydney,553,689,53,58,302,23,15,0.6138753899133813,966,-277,1
Melbourne,427,637,44,148,130,38,7,1.250567778853466,749,-112,1
Sydney,265,587,25,113,132,31,3,1.8277735563603887,535,52,0
Sydney,534,214,40,121,305,34,19,1.52055455647058,1000,-786,1
Sydney,461,505,25,69,179,22,14,1.184606297748148,734,-229,1
Melbourne,494,682,51,103,110,42,4,0.8283081244107935,758,-76,1
Sydney,442,401,58,135,260,46,12,2.5479112502405745,895,-494,1
Melbourne,570,384,50,132,227,47,5,2.9903631053104798,979,-595,1
Sydney,385,376,29,79,234,45,4,1.3238553338097052,727,-351,1
